"quadrat","pasture","latitude","longitude","elevation","before1997","from1997"
"gzgz_11","11",40.8429429,-104.74403171,1656,"grazed","grazed"
"gzgz_19","19",40.8237983,-104.71030628,1633,"grazed","grazed"
"gzgz_24","24",40.82282399,-104.72950436,1650,"grazed","grazed"
"gzgz_5a","5a",40.86813765,-104.69079204,1657,"grazed","grazed"
"gzgz_5b","5b",40.86766248,-104.68063032,1661,"grazed","grazed"
"gzgz_7","7",40.84767088,-104.70964017,1661,"grazed","grazed"
"gzun_11","11",40.84292036,-104.74376801,1656,"grazed","ungrazed"
"gzun_19","19",40.82324266,-104.71041986,1635,"grazed","ungrazed"
"gzun_24","24",40.8231394,-104.72896675,1652,"grazed","ungrazed"
"gzun_5a","5a",40.86800446,-104.69113586,1656,"grazed","ungrazed"
"gzun_5b","5b",40.86758813,-104.68027652,1662,"grazed","ungrazed"
"gzun_7","7",40.84762394,-104.709135,1657,"grazed","ungrazed"
"ungz_11","11",40.8443053,-104.74402819,1661,"ungrazed","grazed"
"ungz_19","19",40.82251143,-104.71032439,1629,"ungrazed","grazed"
"ungz_24","24",40.82209971,-104.72904671,1652,"ungrazed","grazed"
"ungz_5a","5a",40.86687952,-104.69214379,1653,"ungrazed","grazed"
"ungz_5b","5b",40.86695194,-104.68031064,1660,"ungrazed","grazed"
"ungz_7","7",40.84690612,-104.70902201,1655,"ungrazed","grazed"
"unun_11","11",40.84393968,-104.74406641,1657,"ungrazed","ungrazed"
"unun_19","19",40.82181389,-104.70997,1630,"ungrazed","ungrazed"
"unun_24","24",40.82250405,-104.72901503,1654,"ungrazed","ungrazed"
"unun_5a","5a",40.86712277,-104.69220087,1655,"ungrazed","ungrazed"
"unun_5b","5b",40.86732997,-104.68030058,1659,"ungrazed","ungrazed"
"unun_7","7",40.84684275,-104.70871255,1659,"ungrazed","ungrazed"
