"Year"	"Pasture"	"Num_Hd"	"Date_In"	"Date_Out"	"ASG"	"Notes"
1997	"5b"	"26"	"8-May"	"23-Oct"	296.5	"yearling breeders"
1997	"5a"	"20"	"14-May"	"8-Oct"	404.8	"steers"
1997	"7"	"22"	"1-May"	"23-Oct"	274	"two year old breeders"
1997	"11"	"13"	"14-May"	"9-Oct"	343.6	"steers"
1997	"19"	"70"	"12-May"	"8-Oct"	347.5	"steers rotated in 7-160 acre pastures"
1997	"24"	"12"	"3-Jun"	"30-Oct"	210.5	"replacement heifers"
1998	"5b"	"20"	"13-May"	"7-Oct"	295.6	"steers"
1998	"5a"	"22"	"7-May"	"22-Oct"	257.8	"yearling breeders"
1998	"7"	"22"	"1-May"	"22-Oct"	245.9	"two year old breeders"
1998	"11"	"12"	"13-May"	"7-Oct"	329.5	"steers"
1998	"19"	"70"	"11-May"	"6-Oct"	291.9	"steers rotated in 7-160 acre pastures"
1998	"24"	"9"	"12-May"	"30-Oct"	276.2	"replacement heifers"
1999	"5b"	"20"	"18-May"	"7-Oct"	347.9	"steers"
1999	"5a"	"20"	"18-May"	"7-Oct"	376.4	"steers"
1999	"7"	"23"	"10-May"	"20-Oct"	318.1	"yearling breeders"
1999	"11"	"20"	"21-May"	"5-Oct"	332	"steers"
1999	"19"	"69"	"18-May"	"7-Oct"	355.8	"steers rotated in 7-160 acre pastures"
1999	"24"	"21"	"3-May"	"20-Oct"	307.2	"two year old breeders"
2000	"5b"	"19"	"19-May"	"6-Sep"	161.5	"steers"
2000	"5a"	"19"	"19-May"	"6-Sep"	161.4	"steers"
2000	"7"	"25"	"8-May"	"14-Sep"	205.5	"yearling breeders"
2000	"11"	"21"	"19-May"	"6-Sep"	132.5	"steers"
2000	"19"	"70"	"16-May"	"12-Sep"	250.8	"steers rotated in 7-160 acre pastures"
2000	"24"	"10"	"18-May"	"6-Sep"	231.9	"steers"
2001	"5b"	"15"	"15-May"	"11-Oct"	358.6	"steers"
2001	"5a"	"16"	"15-May"	"11-Oct"	354.8	"steers"
2001	"7"	"18"	"1-May"	"18-Oct"	334.9	"two year old breeders"
2001	"11"	"16"	"15-May"	"11-Oct"	349	"steers"
2001	"19"	"59"	"16-May"	"10-Oct"	357	"steers rotated in 7-160 acre pastures"
2001	"24"	"7"	"15-May"	"11-Oct"	350	"steers"
2002	"5b"	"20"	"14-May"	"9-Aug"	142.4	"steers"
2002	"5a"	"20"	"14-May"	"9-Aug"	147.4	"steers"
2002	"7"	"20"	"1-May"	"4-Oct"	328.9	"two year old breeders"
2002	"11"	"20"	"16-May"	"9-Aug"	144.1	"steers"
2002	"19"	"69"	"14-May"	"9-Aug"	159.8	"steers rotated in 7-160 acre pastures"
2002	"24"	"9"	"16-May"	"9-Aug"	219.8	"steers"
2003	"5b"	"33"	"20-May"	"10-Oct"	383.8	"steers"
2003	"5a"	"Ran with 5b"	"NA"	"NA"	"NA"	"NA"
2003	"7"	"19"	"21-May"	"16-Oct"	420.1	"steers"
2003	"11"	"20"	"21-May"	"16-Oct"	381	"steers"
2003	"19"	"60"	"20-May"	"10-Oct"	364	"steers rotated in 7-160 acre pastures"
2003	"24"	"20"	"21-May"	"16-Oct"	425.2	"steers"
2004	"5b"	"25"	"20-May"	"13-Oct"	291.5	"steers"
2004	"5a"	"Ran with 5b"	"NA"	"NA"	"NA"	"NA"
2004	"7"	"10"	"18-May"	"13-Oct"	363.4	"steers"
2004	"11"	"10"	"10-Jun"	"13-Oct"	320	"steers"
2004	"19"	"40"	"20-May"	"13-Oct"	370.6	"steers"
2004	"24"	"10"	"18-May"	"13-Oct"	302.6	"steers"
2005	"5b"	"36"	"16-May"	"12-Oct"	184.4	"yearling breeders"
2005	"5a"	"Ran with 5b"	"NA"	"NA"	"NA"	"NA"
2005	"7"	"10"	"19-May"	"18-Oct"	375.4	"steers"
2005	"11"	"20"	"19-May"	"18-Oct"	366.3	"steers"
2005	"19"	"70"	"19-May"	"13-Oct"	342.5	"steers - rotated in these  pastures"
2005	"24"	"20"	"19-May"	"13-Oct"	354.3	"steers"
2006	"5b"	"31"	"16-May"	"27-Jul"	267	"YB to seeded pasture on 7-27 to 10-19"
2006	"5a"	"Ran with 5b"	"NA"	"NA"	"NA"	"NA"
2006	"7"	"10"	"19-May"	"28-Sep"	297	"steers"
2006	"11"	"20"	"19-May"	"28-Sep"	274.6	"steers"
2006	"19"	"10"	"19-May"	"28-Sep"	307.6	"steers"
2006	"24"	"20"	"17-May"	"29-Sep"	288.7	"non-bred heifers"
2007	"5b"	"This pasture was rested this year"	"NA"	"NA"	"NA"	"NA"
2007	"5a"	"20"	"7-May"	"2-Oct"	313.3	"steers"
2007	"7"	"10"	"18-May"	"2-Oct"	356.2	"steers"
2007	"11"	"58"	"23-May"	"18-Jun"	278.2	"two year old breeders"
		"and"	"22-Aug"	"10-Oct"		"rotated with Slayton pasture"
2007	"19"	"10"	"18-May"	"2-Oct"	323.3	"steers"
2007	"24"	"20"	"17-May"	"2-Oct"	329.8	"steers"
2008	"5b"	"20"	"15-May"	"7-Oct"	315.4	"steers"
2008	"5a"	"20"	"18-May"	"7-Oct"	298.7	"steers"
2008	"7"	"10"	"16-May"	"7-Oct"	373	"steers"
2008	"11"	"64"	"1-Aug"	"15-Oct"	280.2	"2Y (in Slayton 5-9 to 8-1)"
2008	"19"	"10"	"16-May"	"7-Oct"	315.4	"steers"
2008	"24"	"19"	"15-May"	"7-Oct"	216	"steers"
2009	"5b"	"20"	"13-May"	"1-Oct"	326.8	"steers"
2009	"5a"	"20"	"13-May"	"1-Oct"	369.6	"steers"
2009	"7"	"10"	"13-May"	"1-Oct"	340.4	"steers"
2009	"11"	"10"	"13-May"	"2-Oct"	382.8	"steers"
2009	"19"	"10"	"13-May"	"1-Oct"	383.6	"steers"
2009	"24"	"20"	"13-May"	"2-Oct"	323.9	"steers"
2010	"5b"	"20"	"10-May"	"1-Oct"	319.7	"steers"
2010	"5a"	"19"	"10-May"	"1-Oct"	315.6	"steers"
2010	"7"	"10"	"10-May"	"1-Oct"	321.4	"steers"
2010	"11"	"10"	"11-May"	"4-Oct"	278.1	"steers"
2010	"19"	"10"	"10-May"	"1-Oct"	329.6	"steers"
2010	"24"	"20"	"11-May"	"4-Oct"	302.3	"steers"
