species,density,cover,growthform,longevity
Achillea millefolium,2,,forb,P
Agropyron smithii,4649,,grass,P
Allium spp.,18,,forb,P
Allium textile,73,,forb,P
Ambrosia psilostachya,2,,forb,P
Ant hill,1,26,Not plant,Not plant
Aristida fendleriana,,1,grass,P
Aristida longiseta,,413,grass,P
Aristida spp.,,5,grass,P
Artemisia dracunculus,1,1,shrub,P
Artemisia frigida,763,401,shrub,P
Artemisia ludoviciana,,2,shrub,P
Astragalus gracilis,7,,forb,P
Astragalus missouriensis,2,,forb,P
Astragalus spp.,34,,forb,P
Astragalus/Oxytropis spp.,148,,forb,P
Atriplex argentea,4,,forb,P
Atriplex canescens,1,,shrub,P
Bare ground,10,1988,Not plant,Not plant
BOGR/BUDA,,72,grass,P
BOGR/BUDA/CAEL,,11,grass,P
BOGR/CAEL,,41,grass,P
BOGR/SIHY,,2,grass,P
Bouteloua gracilis,,47497,grass,P
Bromus tectorum,1,,grass,A
Buchloe dactyloides,,4387,grass,P
Carex eleocharis,,353,grass,P
Carex filifolia,,33,grass,P
Carex spp.,,37553,grass,P
Ceratoides lanata,9,21,shrub,P
Chenopodium album,1500,,forb,A
Chenopodium incanum,1,,forb,A
Chenopodium leptophyllum,1252,,forb,A
Chrysopsis villosa,19,,forb,P
Chrysothamnus nauseosus,45,,shrub,P
Conyza canadensis,786,,forb,A
Corner plate,,1299,Not plant,Not plant
Coryphantha vivipara,1,,shrub,P
Cow pie,,23,Not plant,Not plant
Crown,34,6370,Crown,Crown
Cryptantha jamesii,118,,forb,P
Cryptantha minima,504,,forb,A
Cymopterus acaulis,4,,forb,P
Cymopterus montanus,33,,forb,P
Descurainia pinnata,7,,forb,P
Descurainia sophia,1,,forb,A
Erigeron flagellaris,11,,forb,B
Erigeron pumilus,3,,forb,P
Eriogonum effusum,30,41,shrub,P
Eriogonum flavum,2,,forb,P
Euphorbia glyptosperma,463,,forb,A
Gaura coccinea,38,,forb,P
Gutierrezia sarothrae,1,,shrub,P
Haplopappus spinulosus,1,,forb,P
Helianthus pumilus,3,,forb,P
Ipomopsis laxiflora,47,,forb,A
Kochia scoparia,14,,forb,A
Lappula redowskii,222,,forb,A
Lepidium densiflorum,2117,,forb,A
Lesquerella ludoviciana,1,,forb,P
Leucocrinum montanum,33,,forb,P
Lithospermum incisum,10,,forb,P
Lomatium orientale,2,,forb,P
Lupinus pusillus,2,,forb,A
Lygodesmia juncea,31,,forb,P
Machaeranthera tanacetifolia,824,,forb,A
Mirabilis linearis,35,,forb,P
Mixed grass,,9,grass,P
Monroa squarrosa,,1,grass,A
Muhlenbergia torreyi,,46,grass,P
Mushroom,5,2,Not plant,Not plant
Musineon divaricatum,2,,forb,P
Oenothera albicaulis,246,,forb,A
Oenothera caespitosa,45,,forb,P
Oenothera coronopifolia,26,,forb,P
Opuntia polyacantha,,1,shrub,P
Orobanche fasciculata,8,,forb,A
Picradeniopsis oppositifolia,5,,forb,P
Plantago patagonica,980,,forb,A
Portulaca oleracea,23,,forb,A
Psoralea tenuiflora,1,,forb,P
Salsola iberica,276,,forb,A
Schedonnardus paniculatus,,141,grass,P
Scirpus americanus,2,,grass,P
Scutellaria brittonii,30,,forb,P
Senecio tridenticulatus,2,,forb,P
Sisymbrium altissimum,64,,forb,A
Sitanion hystrix,,692,grass,P
Solanum triflorum,1,,forb,A
Solidago spp.,3,,forb,P
Sophora nuttalliana,14,,forb,P
Sphaeralcea coccinea,4921,,forb,P
Sporobolus cryptandrus,,2233,grass,P
Stipa comata,,1474,grass,P
Talinum parviflorum,472,,forb,P
Thelesperma filifolium,79,,forb,P
Thelesperma megapotamicum,6,,forb,P
Thelesperma spp.,20,,forb,P
Townsendia exscapa,5,,forb,P
Townsendia grandiflora,6,,forb,B
Tragopogon dubius,8,,forb,A
Unknown,208,12,Unknown,Unknown
Vicia americana,45,,forb,P
Vulpia octoflora,6820,,grass,A
