"species"	"density"	"cover"	"growthForm"	"longevity"
"Achillea millefolium"	2	"NA"	"forb"	"P"
"Agropyron smithii"	4649	"NA"	"grass"	"P"
"Allium spp."	18	"NA"	"forb"	"P"
"Allium textile"	73	"NA"	"forb"	"P"
"Ambrosia psilostachya"	2	"NA"	"forb"	"P"
"Ant hill"	1	26	"Not plant"	"Not plant"
"Aristida fendleriana"	"NA"	1	"grass"	"P"
"Aristida longiseta"	"NA"	413	"grass"	"P"
"Aristida spp."	"NA"	5	"grass"	"P"
"Artemisia dracunculus"	1	1	"shrub"	"P"
"Artemisia frigida"	763	401	"shrub"	"P"
"Artemisia ludoviciana"	"NA"	2	"shrub"	"P"
"Astragalus gracilis"	7	"NA"	"forb"	"P"
"Astragalus missouriensis"	2	"NA"	"forb"	"P"
"Astragalus spp."	34	"NA"	"forb"	"P"
"Astragalus/Oxytropis spp."	148	"NA"	"forb"	"P"
"Atriplex argentea"	4	"NA"	"forb"	"P"
"Atriplex canescens"	1	"NA"	"shrub"	"P"
"Bare ground"	10	1988	"Not plant"	"Not plant"
"BOGR/BUDA"	"NA"	72	"grass"	"P"
"BOGR/BUDA/CAEL"	"NA"	11	"grass"	"P"
"BOGR/CAEL"	"NA"	41	"grass"	"P"
"BOGR/SIHY"	"NA"	2	"grass"	"P"
"Bouteloua gracilis"	"NA"	47497	"grass"	"P"
"Bromus tectorum"	1	"NA"	"grass"	"A "
"Buchloe dactyloides"	"NA"	4387	"grass"	"P"
"Carex eleocharis"	"NA"	353	"grass"	"P"
"Carex filifolia"	"NA"	33	"grass"	"P"
"Carex spp."	"NA"	37553	"grass"	"P"
"Ceratoides lanata"	9	21	"shrub"	"P"
"Chenopodium album"	1500	"NA"	"forb"	"A "
"Chenopodium incanum"	1	"NA"	"forb"	"A "
"Chenopodium leptophyllum"	1252	"NA"	"forb"	"A "
"Chrysopsis villosa"	19	"NA"	"forb"	"P"
"Chrysothamnus nauseosus"	45	"NA"	"shrub"	"P"
"Conyza canadensis"	786	"NA"	"forb"	"A "
"Corner plate"	"NA"	1299	"Not plant"	"Not plant"
"Coryphantha vivipara"	1	"NA"	"shrub"	"P"
"Cow pie"	"NA"	23	"Not plant"	"Not plant"
"Crown"	34	6370	"Crown"	"Crown"
"Cryptantha jamesii"	118	"NA"	"forb"	"P"
"Cryptantha minima"	504	"NA"	"forb"	"A "
"Cymopterus acaulis"	4	"NA"	"forb"	"P"
"Cymopterus montanus"	33	"NA"	"forb"	"P"
"Descurainia pinnata"	7	"NA"	"forb"	"P"
"Descurainia sophia"	1	"NA"	"forb"	"A "
"Erigeron flagellaris"	11	"NA"	"forb"	"B "
"Erigeron pumilus"	3	"NA"	"forb"	"P"
"Eriogonum effusum"	30	41	"shrub"	"P"
"Eriogonum flavum"	2	"NA"	"forb"	"P"
"Euphorbia glyptosperma"	463	"NA"	"forb"	"A "
"Gaura coccinea"	38	"NA"	"forb"	"P"
"Gutierrezia sarothrae"	1	"NA"	"shrub"	"P"
"Haplopappus spinulosus"	1	"NA"	"forb"	"P"
"Helianthus pumilus"	3	"NA"	"forb"	"P"
"Ipomopsis laxiflora"	47	"NA"	"forb"	"A "
"Kochia scoparia"	14	"NA"	"forb"	"A "
"Lappula redowskii"	222	"NA"	"forb"	"A "
"Lepidium densiflorum"	2117	"NA"	"forb"	"A "
"Lesquerella ludoviciana"	1	"NA"	"forb"	"P"
"Leucocrinum montanum"	33	"NA"	"forb"	"P"
"Lithospermum incisum"	10	"NA"	"forb"	"P"
"Lomatium orientale"	2	"NA"	"forb"	"P"
"Lupinus pusillus"	2	"NA"	"forb"	"A "
"Lygodesmia juncea"	31	"NA"	"forb"	"P"
"Machaeranthera tanacetifolia"	824	"NA"	"forb"	"A "
"Mirabilis linearis"	35	"NA"	"forb"	"P"
"Mixed grass"	"NA"	9	"grass"	"P"
"Monroa squarrosa"	"NA"	1	"grass"	"A "
"Muhlenbergia torreyi"	"NA"	46	"grass"	"P"
"Mushroom"	5	2	"Not plant"	"Not plant"
"Musineon divaricatum"	2	"NA"	"forb"	"P"
"Oenothera albicaulis"	246	"NA"	"forb"	"A "
"Oenothera caespitosa"	45	"NA"	"forb"	"P"
"Oenothera coronopifolia"	26	"NA"	"forb"	"P"
"Opuntia polyacantha"	"NA"	1	"shrub"	"P"
"Orobanche fasciculata"	8	"NA"	"forb"	"A "
"Picradeniopsis oppositifolia"	5	"NA"	"forb"	"P"
"Plantago patagonica"	980	"NA"	"forb"	"A "
"Portulaca oleracea"	23	"NA"	"forb"	"A "
"Psoralea tenuiflora"	1	"NA"	"forb"	"P"
"Salsola iberica"	276	"NA"	"forb"	"A "
"Schedonnardus paniculatus"	"NA"	141	"grass"	"P"
"Scirpus americanus"	2	"NA"	"grass"	"P"
"Scutellaria brittonii"	30	"NA"	"forb"	"P"
"Senecio tridenticulatus"	2	"NA"	"forb"	"P"
"Sisymbrium altissimum"	64	"NA"	"forb"	"A "
"Sitanion hystrix"	"NA"	692	"grass"	"P"
"Solanum triflorum"	1	"NA"	"forb"	"A "
"Solidago spp."	3	"NA"	"forb"	"P"
"Sophora nuttalliana"	14	"NA"	"forb"	"P"
"Sphaeralcea coccinea"	4921	"NA"	"forb"	"P"
"Sporobolus cryptandrus"	"NA"	2233	"grass"	"P"
"Stipa comata"	"NA"	1474	"grass"	"P"
"Talinum parviflorum"	472	"NA"	"forb"	"P"
"Thelesperma filifolium"	79	"NA"	"forb"	"P"
"Thelesperma megapotamicum"	6	"NA"	"forb"	"P"
"Thelesperma spp."	20	"NA"	"forb"	"P"
"Townsendia exscapa"	5	"NA"	"forb"	"P"
"Townsendia grandiflora"	6	"NA"	"forb"	"B "
"Tragopogon dubius"	8	"NA"	"forb"	"A "
"Unknown"	208	12	"Unknown"	"Unknown"
"Vicia americana"	45	"NA"	"forb"	"P"
"Vulpia octoflora"	6820	"NA"	"grass"	"A "
